,img,artist,counter
0,,Mabel,
1,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/DJ_Snake_Live_EMF_2016_%28Cropped%29.png/222px-DJ_Snake_Live_EMF_2016_%28Cropped%29.png,DJ Snake,
2,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Selena_Gomez_and_The_Scene.png/220px-Selena_Gomez_and_The_Scene.png,Selena Gomez & The Scene,
3,,Martin Solveig,
4,,Lost Frequencies,
5,//upload.wikimedia.org/wikipedia/commons/thumb/1/14/Shaed_wordmark_black.svg/220px-Shaed_wordmark_black.svg.png,SHAED,
6,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/RihannaJingle_Ball_cropped.jpg/170px-RihannaJingle_Ball_cropped.jpg,Rihanna,
7,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Alessia_Cara_press_photo_2015.png/220px-Alessia_Cara_press_photo_2015.png,Alessia Cara,
8,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Clean_Bandit_logo.svg/120px-Clean_Bandit_logo.svg.png,Clean Bandit,
9,,Halsey,
10,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/NickJonasJul09.jpg/170px-NickJonasJul09.jpg,Nick Jonas,
11,//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Alesso_playing_live_at_Ushuaia_Ibiza.jpeg/220px-Alesso_playing_live_at_Ushuaia_Ibiza.jpeg,Alesso,
12,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/One_Direction_X_Factor_Live_Glasgow_2.jpg/220px-One_Direction_X_Factor_Live_Glasgow_2.jpg,Niall Horan,
13,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Nat_3oh3_logo.jpg/220px-Nat_3oh3_logo.jpg,3OH!3,
14,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Tinie_Tempah_Toronto_2011.jpg/180px-Tinie_Tempah_Toronto_2011.jpg,Tinie Tempah,
15,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Daft_Punk_logo.svg/220px-Daft_Punk_logo.svg.png,Daft Punk,
16,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Fifth_Harmony_X_Factor_2012.jpg/330px-Fifth_Harmony_X_Factor_2012.jpg,Fifth Harmony,
17,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Labrinth_at_the_MEN_Arena%2C_2013.jpg/220px-Labrinth_at_the_MEN_Arena%2C_2013.jpg,Labrinth,
18,//upload.wikimedia.org/wikipedia/commons/thumb/2/23/Icona_Pop_StyleNite.jpg/220px-Icona_Pop_StyleNite.jpg,Icona Pop,
19,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Shm-logo_1.png/220px-Shm-logo_1.png,Swedish House Mafia,
20,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Stripped_Tour_CH_-_cropped.jpg/190px-Stripped_Tour_CH_-_cropped.jpg,Christina Aguilera,
21,//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Rita_Ora%2C_9_September_2012_%28cropped%29.jpg/200px-Rita_Ora%2C_9_September_2012_%28cropped%29.jpg,Rita Ora,
22,//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/FarEastMovement.jpg/220px-FarEastMovement.jpg,Far East Movement,
23,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Stockton_%26_Darlington_Railway_%28Brown_via_Getty_Images%29.jpg/220px-Stockton_%26_Darlington_Railway_%28Brown_via_Getty_Images%29.jpg,Train,
24,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lady_Gaga_BTW_Ball_Antwerp_02.jpg/170px-Lady_Gaga_BTW_Ball_Antwerp_02.jpg,RedOne,
25,,DNCE,
26,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Owl_City_930_club.jpg/220px-Owl_City_930_club.jpg,Owl City,
27,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Black_Cards_2011.jpg/220px-Black_Cards_2011.jpg,Bebe Rexha,
28,//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/DJ_Khaled_in_2011.jpg/220px-DJ_Khaled_in_2011.jpg,DJ Khaled,
