,artist,counter,img
0,P!nk,5,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Pink_2006.jpg/220px-Pink_2006.jpg
1,The Chainsmokers,9,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/The_Chainsmokers_-_Logo_2013.jpg/220px-The_Chainsmokers_-_Logo_2013.jpg
2,Ellie Goulding,5,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Ellie_Goulding_%40_Nokia_World_2010_1.jpg/220px-Ellie_Goulding_%40_Nokia_World_2010_1.jpg
3,Ariana Grande,8,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg/170px-Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg
4,Calvin Harris,9,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Calvin_Harris_001.jpg/200px-Calvin_Harris_001.jpg
5,Lizzo,2,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Lizzo%2C_Liverpool_SoundCity_2014.jpg/225px-Lizzo%2C_Liverpool_SoundCity_2014.jpg
6,Justin Bieber,5,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Justin_Bieber_2.png/220px-Justin_Bieber_2.png
7,OneRepublic,4,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Onerepublic.jpg/220px-Onerepublic.jpg
8,One Direction,5,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/One_Direction_X_Factor_Live_Glasgow.jpg/220px-One_Direction_X_Factor_Live_Glasgow.jpg
9,Snakehips,1,nan
10,Demi Lovato,7,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Demi_Lovato_Crop.jpg/170px-Demi_Lovato_Crop.jpg
11,Jonas Brothers,2,//upload.wikimedia.org/wikipedia/commons/thumb/2/25/Jonas_Brothers_06-03-2008.jpg/220px-Jonas_Brothers_06-03-2008.jpg
12,The Wanted,1,nan
13,Coldplay,2,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/YellowLive.JPG/220px-YellowLive.JPG
14,Ed Sheeran,6,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Franglingham_Castle_01.jpg/220px-Franglingham_Castle_01.jpg
15,Drake,2,nan
16,Maroon 5,11,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Maroon5.jpg/220px-Maroon5.jpg
17,Jason Derulo,3,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Jason-Derulo_by-Adam-Bielawski_2010-01-12.jpg/170px-Jason-Derulo_by-Adam-Bielawski_2010-01-12.jpg
18,Kesha,5,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Ke%24ha_performing_live_in_Echo.JPG/220px-Ke%24ha_performing_live_in_Echo.JPG
19,ZAYN,3,nan
20,LMFAO,2,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Madonna_Super_Bowl2.jpg/170px-Madonna_Super_Bowl2.jpg
21,Nicki Minaj,3,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/MinajHammersteinBallroomNYC.jpg/170px-MinajHammersteinBallroomNYC.jpg
22,Bruno Mars,8,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Bruno_Mars_keyboard.jpg/200px-Bruno_Mars_keyboard.jpg
23,Train,1,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Stockton_%26_Darlington_Railway_%28Brown_via_Getty_Images%29.jpg/220px-Stockton_%26_Darlington_Railway_%28Brown_via_Getty_Images%29.jpg
24,Katy Perry,8,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Katy_Perry_performing.jpg/170px-Katy_Perry_performing.jpg
25,Meghan Trainor,6,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Meghan_Trainor_in_2010.jpg/170px-Meghan_Trainor_in_2010.jpg
26,Selena Gomez & The Scene,2,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Selena_Gomez_and_The_Scene.png/220px-Selena_Gomez_and_The_Scene.png
27,David Guetta,8,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/DavidGuettaLive.jpg/220px-DavidGuettaLive.jpg
28,Macklemore & Ryan Lewis,2,nan
29,DJ Snake,1,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/DJ_Snake_Live_EMF_2016_%28Cropped%29.png/222px-DJ_Snake_Live_EMF_2016_%28Cropped%29.png
30,Robin Thicke,1,//upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Robin_Thicke_2012_cropped.jpg/150px-Robin_Thicke_2012_cropped.jpg
31,Jonas Blue,1,nan
32,Martin Solveig,1,nan
33,Alessia Cara,3,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Alessia_Cara_press_photo_2015.png/220px-Alessia_Cara_press_photo_2015.png
34,Jessie J,3,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Jessie_J.jpg/170px-Jessie_J.jpg
35,Lady Gaga,6,//upload.wikimedia.org/wikipedia/commons/thumb/8/82/Lady_Gaga_at_Lollapalooza_2007_-_cropped.jpg/130px-Lady_Gaga_at_Lollapalooza_2007_-_cropped.jpg
